241.0,310.0,105.0,738.0,405.0,490.0,158.0,92.0,68.0,20.0,411.0,562.0,939.0,296.0,819.0,783.0,60.0,227.0,532.0,549.0,368.0,283.0,798.0,176.0,846.0,108.0,268.0,219.0,965.0,949.0,26.0,848.0,656.0,826.0,266.0,278.0,198.0,168.0,317.0,642.0,888.0,749.0,983.0,875.0,868.0,901.0,381.0,88.0,865.0,6201.0
345.0,687.0,397.0,518.0,254.0,182.0,253.0,484.0,286.0,91.0,967.0,957.0,837.0,886.0,964.0,560.0,860.0,307.0,7.0,930.0,298.0,586.0,721.0,903.0,319.0,868.0,783.0,520.0,199.0,423.0,433.0,613.0,295.0,441.0,462.0,165.0,238.0,312.0,265.0,832.0,816.0,44.0,83.0,47.0,473.0,641.0,287.0,531.0,547.0,6631.0
482.0,717.0,351.0,148.0,689.0,200.0,68.0,422.0,935.0,207.0,650.0,647.0,451.0,282.0,188.0,364.0,446.0,764.0,602.0,328.0,649.0,571.0,203.0,926.0,331.0,103.0,859.0,63.0,725.0,234.0,284.0,783.0,596.0,630.0,882.0,243.0,125.0,339.0,957.0,181.0,297.0,470.0,26.0,43.0,365.0,714.0,84.0,917.0,987.0,9771.0
292.0,752.0,691.0,982.0,334.0,18.0,330.0,295.0,329.0,989.0,156.0,793.0,667.0,420.0,882.0,965.0,890.0,635.0,696.0,837.0,79.0,300.0,632.0,196.0,915.0,454.0,299.0,139.0,256.0,390.0,613.0,984.0,162.0,339.0,586.0,9.0,372.0,45.0,465.0,173.0,373.0,802.0,823.0,371.0,297.0,585.0,99.0,449.0,212.0,4341.0
938.0,212.0,116.0,60.0,63.0,56.0,754.0,172.0,609.0,693.0,993.0,153.0,621.0,41.0,559.0,502.0,596.0,255.0,329.0,36.0,125.0,854.0,541.0,299.0,792.0,419.0,667.0,205.0,489.0,206.0,247.0,449.0,420.0,503.0,37.0,224.0,431.0,454.0,254.0,662.0,910.0,438.0,850.0,220.0,510.0,192.0,32.0,260.0,259.0,2481.0
538.0,213.0,790.0,237.0,427.0,890.0,267.0,145.0,332.0,52.0,912.0,950.0,322.0,578.0,119.0,583.0,412.0,985.0,922.0,668.0,669.0,891.0,809.0,734.0,762.0,41.0,506.0,396.0,95.0,440.0,215.0,952.0,894.0,586.0,921.0,966.0,946.0,169.0,344.0,303.0,672.0,482.0,818.0,657.0,834.0,430.0,540.0,220.0,670.0,8201.0
702.0,820.0,274.0,346.0,944.0,401.0,979.0,508.0,76.0,879.0,994.0,286.0,984.0,642.0,684.0,195.0,45.0,404.0,920.0,634.0,130.0,785.0,991.0,275.0,683.0,876.0,61.0,890.0,171.0,704.0,650.0,475.0,582.0,483.0,764.0,413.0,949.0,399.0,223.0,817.0,3.0,216.0,160.0,13.0,624.0,897.0,263.0,118.0,405.0,8291.0
788.0,801.0,390.0,898.0,227.0,563.0,54.0,899.0,973.0,206.0,165.0,687.0,622.0,338.0,838.0,913.0,575.0,792.0,803.0,482.0,937.0,539.0,450.0,27.0,80.0,35.0,712.0,608.0,115.0,500.0,574.0,885.0,263.0,142.0,42.0,371.0,81.0,786.0,900.0,535.0,926.0,10.0,304.0,857.0,355.0,847.0,76.0,87.0,982.0,5561.0
464.0,390.0,210.0,806.0,318.0,397.0,239.0,776.0,498.0,876.0,989.0,409.0,97.0,79.0,117.0,937.0,635.0,817.0,906.0,374.0,524.0,444.0,425.0,878.0,728.0,795.0,454.0,68.0,643.0,902.0,963.0,200.0,652.0,309.0,952.0,856.0,490.0,432.0,121.0,571.0,171.0,380.0,895.0,166.0,180.0,723.0,152.0,334.0,506.0,8801.0
346.0,264.0,554.0,997.0,925.0,4.0,727.0,172.0,5.0,663.0,319.0,123.0,558.0,113.0,498.0,805.0,732.0,615.0,495.0,538.0,77.0,533.0,251.0,421.0,867.0,300.0,365.0,234.0,785.0,184.0,884.0,641.0,1.0,692.0,54.0,624.0,929.0,320.0,557.0,934.0,930.0,478.0,801.0,933.0,581.0,312.0,959.0,888.0,518.0,4511.0
